Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Fury,2014,David Ayer,"['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman', 'Michael Peña', 'Jon Bernthal', 'Jim Parrack', 'Brad William Henke', 'Scott Eastwood', 'Jason Isaacs', 'Kevin Vance', 'Xavier Samuel', 'Alicia von Rittberg', 'Anamaria Marinca', 'Eugenia Kuzmina', 'Jake Curran', 'Eric Kofi Abrefa', 'Adam Ganne', 'Jack Bannon', 'Marek Oravec', 'Zach Avery', 'Marlon Blue', 'Jamie B. Chambers']",nan,3.57,https://letterboxd.com//film/fury-2014/
Inherent Vice,2014,Paul Thomas Anderson,"['Joaquin Phoenix', 'Josh Brolin', 'Owen Wilson', 'Katherine Waterston', 'Reese Witherspoon', 'Benicio del Toro', 'Jena Malone', 'Maya Rudolph', 'Martin Short', 'Martin Donovan', 'Sasha Pieterse', 'Eric Roberts', 'Michael Kenneth Williams', 'Joanna Newsom', 'Jeannie Berlin', 'Serena Scott Thomas', 'Hong Chau', 'Christopher Allen Nelson', 'Sam Jaeger', 'Timothy Simons', 'Jillian Bell', 'Jordan Christian Hearn', 'Taylor Bonin', 'Martin Dew', 'Shannon Collis', 'Catherine Haena Kim', 'Vivienne Khaledi', 'Yvette Yates Redick', 'Andrew Simpson', 'Show All…', 'Joe Dioletto', 'Jack Kelly', 'Belladonna', 'Elaine Tan', 'Wilson Bethel', 'Anders Holm', 'Emmet Unverzagt', 'Erica Sullivan', 'Eva Fisher', 'Jackie Michele Johnson', 'Katie Schwartz', 'Charley Morgan', 'Keith Jardine', 'Delaina Mitchell', 'Michael Cotterman', 'Peter McRobbie', 'Shannon C. Sullivan', 'Samantha Lemole', 'Madison Leisle', 'Christian Williams', 'Jefferson Mays', 'Liam Van Joosten', 'Matt Doyle', 'Ashleigh Biller', 'David Prak', 'Amy Ferguson', 'Emma Dumont', 'Scott Aschenbrenner', 'Christina Bobrowsky', 'Peter Bonilla', 'Gregoer Boru', 'Marianne Bourg', 'Toyia Brown', 'Stu Brumbaugh', 'Seth Cash', 'Laura Lyon Rossi', 'Elizabeth Colunga', 'Emma Cooper', 'Nick de Graffenreid', 'Adam Dorsey', 'Ken Edling', 'Jenna Emery', 'Al Function', 'Brandy Futch', 'Lauren Goncher', 'Ellen Ho', 'Jessica Huss', 'Raiden Integra', 'Dallas James', 'Christopher Karl Johnson', 'Laura Kranz', 'Timothy Lally', 'Adeana Lane', 'Kira Legg', 'Tracy Ann Lisa', 'Blue LoLan', 'Jacob Lyman', 'Amanda Maddox', 'Emilee Madrak', 'Kirstin Masters', 'Zach McMahon', ""Chelsea O'Toole"", 'Shaun Parker', 'Rodney J. Richards', 'Philip Roosevelt', 'Osamu Saito', 'Joel Shock', 'Matthew Skomo', 'Chantal Thuy', 'Diana Elizabeth Torres']",2,3.56,https://letterboxd.com//film/inherent-vice/
Gone Girl,2014,David Fincher,"['Rosamund Pike', 'Ben Affleck', 'Kim Dickens', 'Tyler Perry', 'Neil Patrick Harris', 'Carrie Coon', 'Patrick Fugit', 'Lola Kirke', 'Boyd Holbrook', 'Casey Wilson', 'David Clennon', 'Lisa Banes', 'Missi Pyle', 'Emily Ratajkowski', 'Scoot McNairy', 'Sela Ward', 'Lee Norris', 'Jamie McShane', 'Leonard Kelly-Young', 'Kathleen Rose Perkins', 'Pete Housman', 'Lynn Adrianna', 'Cyd Strittmatter', 'Ricky Wood', 'Donna Rusch', 'Mark Atteberry', 'Darin Cooper', 'Kate Campbell', 'Brett Leigh', 'Show All…', 'Antonio St. James', 'Lauren Glazier', ""Julia Prud'homme"", 'Cooper Thornton', 'Casey Ruggieri', 'Ashley Didion', 'Lexis Nutt', 'L.A. Williams', 'Blake Sheldon', 'Sean Guse', 'Fred Cross', 'Scott Takeda', 'Mark T Anderson', 'Kathy Sweeney-Meadows', 'Marc Abbink', 'Christina Alex', 'Samuel Baca', 'Bill Blair', 'Thomas R. Baker', 'Gregoer Boru', 'Will C.', 'Caroline Clements', 'Nancy DeMars', 'Davina Joy', 'Michael James Kelly', 'Elester Latham', 'Aaron Massey', 'Orion McCabe', 'Roz McHenry', 'Bryan McKinley', 'Teebone Mitchell', 'Justin Nesbitt', 'Mark Parrish', 'Jaclyn Rose', 'Sahlima', 'Joel Shock', 'Robert Tarpinian', 'Tracy Weisert', 'Michelle Winters', 'Tracy Brotherton', 'Matilde Matteucci', 'Dale Shane', 'Leslie A. Hughes', 'Jamie Eddy']",4.5,4.02,https://letterboxd.com//film/gone-girl/
The Equalizer,2014,Antoine Fuqua,"['Denzel Washington', 'Marton Csokas', 'Chloë Grace Moretz', 'David Harbour', 'Haley Bennett', 'Bill Pullman', 'Melissa Leo', 'David Meunier', 'Johnny Skourtis', 'Alex Veadov', 'Vladimir Kulich', 'E. Roger Mitchell', 'James Wilcox', ""Mike O'Dea"", 'Anastasia Sanidopoulos Mousis', 'Allen Maldonado', 'Rhet Kidd', 'Mike Morrell', 'Matt Lasky', 'Shawn Fitzgibbon', 'Vitaliy Shtabnoy', 'Timothy John Smith', 'Robert Wahlberg', 'Steve Sweeney', 'Owen Burke', 'Luz Mery Sanchez', 'John Romualdi', 'Johnny Messner', 'Patrick Coppola', 'Show All…', 'William Xifaras', 'Jenny Johnson', 'Peter Haydu', 'Tait Fletcher', 'Mark Stefanich', 'Dan Bilzerian', 'Matt Leonard', 'Sala Baker', 'Yan Dron', 'Andrew Farazi', 'Christopher Weigel']",nan,3.25,https://letterboxd.com//film/the-equalizer/
Pawn Sacrifice,2014,Edward Zwick,"['Tobey Maguire', 'Lily Rabe', 'Peter Sarsgaard', 'Liev Schreiber', 'Sophie Nélisse', 'Michael Stuhlbarg', 'Seamus Davey-Fitzpatrick', 'Conrad Pla', 'Aiden Lovekamp', 'Evelyne Brochu', 'Robin Weigert', 'Andreas Apergis', 'Katie Bird Nolan', 'Ilia Volok', 'Peter Janov', 'Spiro Malandrakis', 'Arthur Holden', 'Raphael Grosz-Harvey', 'John Maclaren', 'Vitali Makarov', 'Eric Lee Huffman', 'Brett Watson', 'Shawn Campbell', 'Eugene Nomura', 'Norman Lehnert', 'Edward Zinoviev', 'Serge Martineau', 'Sam Stone', 'Jonathan Dubsky', 'Show All…', 'Mark Slacke', 'Alexandre Gorchkov', 'Igor Ovadis', 'Bobo Vian', 'Joe Cobden', 'Brent Skagford', 'Richard Jutras', 'Yanick Bousquet', 'Shanmugasunder Chetty', 'Mohsen El Gharbi', 'Andrew Peplowski', 'David Pryde', 'Roc LaFortune', 'Vito DeFilippo', 'Ellen David', 'Rosaruby Kagan', 'Alain Goulem', 'Carlo Mestroni', 'Glen Bowser', 'Zach Fraser', 'Alexandra Van Loon', 'Marco Verdoni', 'Matt Keyes', 'Edward Yankie', 'Al Vandecruys', 'Al Dubois', 'Francois Cote', 'François Ducharme', 'Maurice Demers', 'Grace Anne', 'Nathaly Thibault', 'Benoit Priest', 'Sigurbjörn Guðmundsson', 'Natalija Ugrina', 'Lydia Zadel', 'Dennis Staroselsky', 'André Sogliuzzo']",3,3.18,https://letterboxd.com//film/pawn-sacrifice/
The Theory of Everything,2014,James Marsh,"['Eddie Redmayne', 'Felicity Jones', 'Charlie Cox', 'Emily Watson', 'Simon McBurney', 'David Thewlis', 'Maxine Peake', 'Harry Lloyd', 'Tom Prior', 'Sophie Perry', 'Finlay Wright-Stephens', 'Alice Orr-Ewing', 'Thomas Morrison', 'Michael Marcus', 'Gruffudd Glyn', 'Paul Longley', 'Guy Oliver-Watts', 'Lucy Chappell', 'Charlotte Hope', 'Abigail Cruttenden', 'Nicholas Gerard-Martin', 'Brett Brown', 'Anthony Skrimshire', 'Christian McKay', 'Adam Godley', 'Nicola Sloane', 'Lottie Hamilton', 'Enzo Cilenti', 'Rufus Taylor', 'Show All…', 'Delilah Sexton', 'Eileen Davies', 'Simon Chandler', 'Georg Nikoloff', 'Oliver Payne', 'Raffiella Chapman', 'Sam Houston', 'Victoria Emslie', 'Frank Lebœuf', 'Will Barton', 'Lucy Challenger', 'Nicola Victoria Buck', 'Stuart Benson', 'Andrew Bridgmont', 'Jamie Edwards', 'Jumaane Brown']",3,3.59,https://letterboxd.com//film/the-theory-of-everything-2014/
Nightcrawler,2014,Dan Gilroy,"['Jake Gyllenhaal', 'Rene Russo', 'Riz Ahmed', 'Bill Paxton', 'Kevin Rahm', 'Michael Hyatt', 'Price Carson', 'Kent Shocknek', 'Sharon Tay', 'Ann Cusack', 'Carolyn Gilroy', 'Marco Rodríguez', 'Michael Papajohn', 'Jonny Coyne', 'Rick Chambers', 'Pat Harvey', 'Rick Garcia', 'James Huang', 'Leah Fredkin', 'Bill Seward', 'Holly Hannula', 'Nick Chacon', 'Kevin Dunigan', 'Alex Ortiz', 'Eric Lange', 'Kiff VandenHeuvel', 'Christina De Leon', 'Jamie McShane', 'Dig Wayne', 'Show All…', 'Merritt Bailey', 'Juan Fernandez', 'Lisa Remillard', 'Manuel Lujan', 'Christopher Wolfe', 'Austin Raishbrook', 'Marc Raishbrook', 'Dale Shane', 'Kathleen York', 'Myra Turley', 'Viviana Chavez', ""Stephanie D'Abruzzo"", 'Emily Dahm']",4,4.02,https://letterboxd.com//film/nightcrawler/
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro González Iñárritu,"['Michael Keaton', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough', 'Amy Ryan', 'Emma Stone', 'Naomi Watts', 'Lindsay Duncan', 'Merritt Wever', 'Jeremy Shamos', 'Damian Young', 'Bill Camp', 'Kenny Chin', 'Jamahl Garrison-Lowe', ""Katherine O'Sullivan"", 'Keenan Shimizu', 'Akira Ito', 'Natalie Gold', 'Michael Siberry', 'Clark Middleton', 'William Youmans', 'Paula Pell', 'David Fierro', 'Hudson Flynn', 'Warren Kelley', 'Joel Garland', 'Brent Bateman', 'Donna Lynne Champlin', 'Valentino Musumeci', 'Show All…', 'Taylor Schwencke', 'Craig muMs Grant', 'Kyle Knauf', 'Dave Neal', 'Kelly Southerland', 'Roberta Colindrez', 'Catherine Peppers', 'Frank Ridley', 'Janis Corsair', 'Rakesh G. Shah', 'Malachi Weir', 'Jackie Hoffman', 'Stephen Adly Guirgis', 'Glenn Wein', 'Ebrahim Jaffer', 'Rain Noe', 'Susan Blackwell', 'Anna Hardwick', 'Dusan Dukic', 'Helena-Alexis Seymour', 'Ian Finlay', 'Lynn Marocola']",4,3.91,https://letterboxd.com//film/birdman-or-the-unexpected-virtue-of-ignorance/
The Expendables 3,2014,Patrick Hughes,"['Sylvester Stallone', 'Jason Statham', 'Harrison Ford', 'Arnold Schwarzenegger', 'Mel Gibson', 'Wesley Snipes', 'Dolph Lundgren', 'Dimiter Doichinov', 'Randy Couture', 'Terry Crews', 'Kelsey Grammer', 'Glen Powell', 'Antonio Banderas', 'Victor Ortiz', 'Ronda Rousey', 'Kellan Lutz', 'Jet Li', 'Ivan Kostadinov', 'Robert Davi', 'Nikolay Stoyanov Ilchev', 'Daniel Angelov', 'Slavi Slavov', 'Nikolay Stanoev', 'Harry Anichkin', 'Boswell Maloka', 'Natalie Burn', 'Velizar Binev', 'Sarai Givaty', 'Liubomir Simeonov', 'Show All…', 'Frank Pesce', 'Thomas Canestraro', 'Aleksandar Belovski', 'Aleksandra Bogdanska', 'Lilia Doytchinova', 'Ivaylo Grancharov', 'Wendy Kay', 'Cyndy Powell', 'Bashar Rahal', 'Tzvetislav Samardjiev']",nan,2.45,https://letterboxd.com//film/the-expendables-3/
Guardians of the Galaxy,2014,James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio del Toro', 'Laura Haddock', 'Sean Gunn', 'Peter Serafinowicz', 'Christopher Fairbank', 'Krystian Godlewski', 'Wyatt Oleff', 'Gregg Henry', 'Janis Ahern', 'Solomon Mousley', 'Lindsay Morton', 'Robert Firth', 'Melia Kreiling', 'Tom Proctor', 'Nick Holmes', 'Max Wrottesley', 'Stan Lee', 'Nicole Alexandra Shipley', 'Show All…', 'Sharif Atkins', 'Brendan Fehr', 'Tomas Arana', 'Mikaela Hoover', 'Emmett Scanlan', 'Dominic Grant', 'Spencer Wilding', 'Alison Lintott', 'Alexis Rodney', 'Nathan Fillion', 'Keeley Forsyth', 'Frank Gilhooley', 'Alexis Denisof', 'Enzo Cilenti', 'Richard Katz', 'Enoch Frost', 'Ronan Summers', 'Ophelia Lovibond', 'Laura Ortiz', 'Marama Corlett', 'Rosie Jones', 'Abidemi Sobande', 'Alex Rose', 'Ekaterina Zalitko', 'Emily Redding', 'Fred', 'Stephen Blackehart', 'Jennifer Moylan-Taylor', 'Bruce Mackinnon', 'Ralph Ineson', 'Rob Zombie', 'Naomi Ryan', 'John Brotherton', 'Graham Shiels', 'James Gunn', 'Douglas Robson', 'Rachel Cullen', 'Isabella Poynton', 'Imogen Poynton', 'David Yarovesky', 'Miriam Lucia', 'Josh Brolin', 'Lloyd Kaufman', 'Tyler Bates', 'Seth Green', 'Jozef Aoki']",3.5,3.83,https://letterboxd.com//film/guardians-of-the-galaxy/
Lucy,2014,Luc Besson,"['Scarlett Johansson', 'Morgan Freeman', 'Choi Min-sik', 'Amr Waked', 'Julian Rhind-Tutt', 'Pilou Asbæk', 'Analeigh Tipton', 'Shin Yoo-ram', 'Seo Chong-ju', 'Nicolas Phongpheth', 'Paul Lefèvre', 'Jan Oliver Schroeder', 'Luca Angeletti', 'Pierre Poirot', 'Pierre Grammont', 'Bertrand Quoniam', 'Loïc Brabant', 'Pascal Loison', 'Pierre Gérard', 'Isabelle Cagnat', 'Frédéric Chau', 'Claire Tran', 'François Legrand', 'Bob Martet', 'Alexis Rangheard', 'Tonio Descanvelle', 'Julien Personnaz', 'Christophe Lavalle', 'Renaud Cestre', 'Show All…', 'Thibault Segouin', 'Matthew Bravais', 'Claire Zaniolo', 'Alessandro Giallocosta', 'Wolfgang Pissors', 'Sifan Shao', 'Paul Chan', 'Chou Chung-Wei', 'Huan Jhih-Cyuan', 'I. Cheng-Sheng', 'Frank Ma', 'Tseng Sheng-En', 'Liu Hsieh-Min', 'Sandra Abouav', 'Abel Aboualiten', 'Ken Lin', 'Hsing Feng', 'Hao-Hsiang Hsu', ""Laura D'Arista"", 'Eunyul Hong', 'Samuel Churin', 'Mason Lee', 'Mohammad Aslam Ansari', 'Kevin Dust', 'Diego Llano', 'Timothy Reevis', 'Jaysson Reyes De La Cruz', 'German Tintaya Mamani', 'Kanneti Sawe Han', 'Cédric Chevalme']",2.5,2.72,https://letterboxd.com//film/lucy-2014/
Edge of Tomorrow,2014,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson', 'Bill Paxton', 'Jonas Armstrong', 'Tony Way', 'Kick Gurry', 'Franz Drameh', 'Dragomir Mrsic', 'Charlotte Riley', 'Masayoshi Haneda', 'Terence Maynard', 'Noah Taylor', 'Lara Pulver', 'Madeleine Mantock', 'Assly Zandry', 'Sebastian Blunt', 'Beth Goddard', 'Ronan Summers', 'Aaron Romano', 'Usman Akram', 'Bentley Kalu', 'Mairead McKinley', 'Andrew Neil', 'Martin Hyder', 'Tommy Campbell', 'John Dutton', 'Harry Landis', 'Rachel Handshaw', 'Show All…', 'Martin McDougall', 'Anna Botting', 'Jane Hill', 'Erin Burnett', 'Dany Cushmaro', 'David Kaye', 'Jackson']",3.5,3.73,https://letterboxd.com//film/edge-of-tomorrow/
Mommy,2014,Xavier Dolan,"['Anne Dorval', 'Suzanne Clément', 'Antoine-Olivier Pilon', 'Patrick Huard', 'Alexandre Goyette', 'Michèle Lituac', 'Viviane Pacal', 'Natalie Hamel-Roy', 'Isabelle Nélisse', 'Ted Pluviose', 'Pierre-Yves Cardinal', 'Reda Guerinik', 'Justin Laramée', 'Sabrina Bisson', 'Huguette Gervais', 'Vincent Fafard', 'Jean-Philippe Baril-Guérard', 'Dominic Desnoyers', 'Guenièvre Sandré', 'Isabeau Blanche', 'Catherine Brunet', 'Johanne Garneau', 'Michael Rudder', 'Robin-Joël Cool', 'Guillaume Laurin', 'Mathieu Dufresne', 'Stéphane Julien', 'Julie De Lafrenière', 'Sylvie Lemay', 'Show All…', 'Danielle Lepine', 'Jeanne Roux-Coté', 'Rosalie Fortier', 'Steven Chevrin']",4.5,4.24,https://letterboxd.com//film/mommy-2014/
A Million Ways to Die in the West,2014,Seth MacFarlane,"['Seth MacFarlane', 'Charlize Theron', 'Liam Neeson', 'Amanda Seyfried', 'Neil Patrick Harris', 'Giovanni Ribisi', 'Sarah Silverman', 'Evan Jones', 'Rex Linn', 'Alex Borstein', 'Aaron McPherson', 'Christopher Hagen', 'Ralph Garman', 'Wes Studi', 'Matt Clark', 'Brett Rickaby', 'John Aylward', 'Jay Patterson', 'Amick Byram', 'Dennis Haskins', 'Gilbert Gottfried', 'Ewan McGregor', 'John Michael Higgins', 'Julius Sharpe', 'Mike Miller', 'Ardy Brent Carlson', 'Alec Sulkin', 'Tatanka Means', 'Ivan Brutsche', 'Show All…', 'Jean Effron', 'Bob Jesser', 'Dylan Kenin', 'Franklin Broderick Spencer', 'Mike Salazar', 'Jimmy Hart', 'Allyn Rachel', 'Joe Berryman', 'Tait Fletcher', 'Kevin Wiggins', 'Jackamoe Buzzell', 'Preston Bailey', 'Belle Shouse', 'Challen Cates', 'Catherine Shu', 'Lydia Cash', 'Andrew Pirozzi', 'Kelsey Paschich', ""Sarah O'Gleby"", 'Alex Wong', 'Vladimir Conde Reche', 'Jamie Foxx', 'Christopher Lloyd', 'Kaley Cuoco', 'Patrick Stewart', 'Mae Whitman', 'Bill Maher', 'Ryan Reynolds']",nan,2.28,https://letterboxd.com//film/a-million-ways-to-die-in-the-west/
It Follows,2014,David Robert Mitchell,"['Maika Monroe', 'Keir Gilchrist', 'Daniel Zovatto', 'Jake Weary', 'Olivia Luccardi', 'Lili Sepe', 'Bailey Spry', 'Carollette Phillips', 'Loren Bass', 'Charles Gertner', 'Debbie Williams', 'Ruby Harris', 'Leisa Pulido', 'D.J. Oliver', 'Linda Boston', 'Ingrid Mortimer', 'Kourtney Bell', 'Alexyss Spradlin', 'Mike Lanier', 'Claire Sloma', 'Scott Norman', 'Erin Stone', 'Joanna Bronson', 'Don Hails', 'Ele Bardha', 'Caitlin Burt', 'Heather Fairbanks', 'Vincent Hogarth', 'Christopher Hohman', 'Show All…', 'Rich Vreeland']",4,3.59,https://letterboxd.com//film/it-follows/
Godzilla,2014,Gareth Edwards,"['Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Bryan Cranston', 'Ken Watanabe', 'Sally Hawkins', 'Al Sapienza', 'David Strathairn', 'James Pizzinato', 'Juliette Binoche', 'CJ Adams', 'Richard T. Jones', 'Victor Rasuk', 'Patrick Sabongui', 'Carson Bolde', 'Jared Keeso', 'Luc Roderique', 'Eric Keenleyside', 'Primo Allon', 'George Allen Gumapac Jr.', 'Ken Yamamura', 'Garry Chalk', 'Hiro Kanagawa', 'Kevan Ohtsji', 'Kasey Ryne Mazak', 'Terry Chen', 'Mas Morimoto', 'James D. Dever', 'Akira Takarada', 'Yuko Kiyama', 'Show All…', 'Takeshi Kurokawa', 'James Yoshizawa', 'Jason Furukawa', 'Brian Markinson', 'Ty Olsson', 'Gardiner Millar', 'Kurt Max Runte', 'Peter Shinkoda', 'Bill Marchant', 'Christian Tessier', 'Derrick Yamanaka', 'Peter Kawasaki', 'Jason Riki Kosuge', 'Hiroyoshi Kajiyama', 'Tetsuro Shigematsu', 'Dean Redman', 'Taylor Nichols', 'Anthony Konechny', 'Jake Cunanan', 'Yuki Morita', 'Jill Teed', 'Eli Goree', 'Warren Takeuchi', 'Chuck Church', 'Dalias Blake', 'Lane Edwards', 'Todd Scott', 'Zoe Krivatsy', 'Serge M. Krivatsy', 'Lise Krivatsy', 'Josh Cowdery', 'Steven M. Murdzia', 'Keo Woolford', 'Lynne Halevi', 'Martin Kogan', 'Sandy Ritz', 'Kyle Riefsnyder', 'Eric Breker', 'Jesse Reid', 'Melody B. Choi', 'Catherine Lough Haggquist', 'Aaron Pearl', 'Amy Fox', 'Rich Paul', 'Dee Jay Jackson', 'Erika Forest', 'Michael Denis', 'Taya Clyne', 'Ben Harrison', 'Grayson Maxwell Gurnsey', 'Justin Blayne Lowery', 'Toby Levins', 'Marci T. House', 'Chris Shields', 'Zach Martin', 'Darren Dolynski', 'P. Lynn Johnson', 'Antonio Anagaran', ""Kevin O'Grady"", 'Leif Havdale', 'Zachary Choe', 'Michael Rowe', 'T. J. Storm', 'Michael Leone']",2.5,2.99,https://letterboxd.com//film/godzilla-2014/
Cosmos: A SpaceTime Odyssey,2014,"Bill Pope, Brannon Braga","['Patrick Stewart', 'Seth MacFarlane', 'Phil LaMarr', 'Carl Sagan', 'Christiane Amanpour', 'Kirsten Dunst', 'Cary Elwes', 'Richard Gere', 'Marlee Matlin', 'Paul Sorvino', 'Neil deGrasse Tyson']",4.5,4.34,https://letterboxd.com//film/cosmos-a-spacetime-odyssey/
Creep,2014,Patrick Brice,"['Mark Duplass', 'Patrick Brice', 'Katie Aselton']",2,3.31,https://letterboxd.com//film/creep-2014/
300: Rise of an Empire,2014,Noam Murro,"['Sullivan Stapleton', 'Eva Green', 'Lena Headey', 'Callan Mulvey', 'David Wenham', 'Rodrigo Santoro', ""Jack O'Connell"", 'Andrew Tiernan', 'Ashraf Barhom', 'Andrew Pleavin', 'Hans Matheson', 'Peter Mensah', 'Ben Turner', 'Christopher Boyer', 'Fred Ochs', 'Price Carson', 'John Michael Herndon', 'David Pevsner', 'Peter Ferdinando', 'Igal Naor', 'Luke Roberts', 'George Georgiou', 'Farshad Farahat', 'Christopher Sciueref', 'Steven Cree', 'Caitlin Carmichael', 'Jade Chynoweth', 'Kevin Fry', 'David Sterne', 'Show All…', 'Gregor Truter', 'Vincent Walsh', 'Nick Court', 'Mark Killeen', 'Stefan Ivanov', 'Atanas Srebrev', 'Mark Aaron Wagner', 'Nancy McCrumb', 'Bo Roberts', 'Gregory Shelby', 'Wayne Dalglish', 'Velimir Velev', 'Dimo Alexiev', 'Georgi Stanislavov']",2.5,2.49,https://letterboxd.com//film/300-rise-of-an-empire/
Dead Snow 2: Red vs. Dead,2014,Tommy Wirkola,"['Vegar Hoel', 'Ørjan Gamst', 'Jocelyn DeBoer', 'Martin Starr', 'Ingrid Haas', 'Stig Frode Henriksen', 'Kristoffer Joner', 'Hallvard Holmen', 'Amrita Acharia', 'Derek Mears', 'Christian Rubeck', 'Bjarte Tjøstheim', 'Charlotte Frogner', 'Jesper Sundnes', 'Ingar Helge Gimle', 'Tage Guddingsmo', 'David Skaufjord', 'Daniel Berge Halvorsen', 'Guðmundur Ólafsson', 'Carl-Magnus Adner', 'Ivar Lykke', 'Lars Sundsbø', 'Hanna María Karlsdóttir', 'María Guðmundsdóttir', 'Vera Hilmarsdóttir', 'Kristian Figenschow', 'Laufey Elíasdóttir', 'Seth Sharp', 'Jóhanna Axelsdóttir', 'Show All…', 'Epsen Edvardsen', 'Álfrún Laufeyjar-Sigurðardóttir', 'Thorir Sæmundsson', 'Jón Skúli Guðmundsson', 'Aron Valgeirsson', 'Sindri Freyr Seim Sigurðsson']",nan,3.24,https://letterboxd.com//film/dead-snow-2-red-vs-dead/
The Lego Movie,2014,"Phil Lord, Christopher Miller","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks', 'Will Arnett', 'Nick Offerman', 'Alison Brie', 'Charlie Day', 'Liam Neeson', 'Morgan Freeman', 'Channing Tatum', 'Jonah Hill', 'Cobie Smulders', 'Jadon Sand', 'Anthony Daniels', 'Billy Dee Williams', 'Keith Ferguson', ""Shaquille O'Neal"", 'Will Forte', 'Dave Franco', 'Jake Johnson', 'Keegan-Michael Key', 'Todd Hansen', 'David Burrows', 'Chris McKay', 'Jorma Taccone', 'Christopher Miller', 'Chris Romano', 'Kelly Lafferty', 'Graham Miller', 'Show All…', 'Amanda Farinos', 'Craig Berry', 'Doug Nicholas', 'Chris Paluszek', 'Melissa Sturm', 'Leiki Veskimets']",4.5,3.77,https://letterboxd.com//film/the-lego-movie/
The Grand Budapest Hotel,2014,Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Tony Revolori', 'Mathieu Amalric', 'Adrien Brody', 'Willem Dafoe', 'Jeff Goldblum', 'Uwe Holoubek', 'Harvey Keitel', 'Jude Law', 'Bill Murray', 'Edward Norton', 'Saoirse Ronan', 'Jason Schwartzman', 'Léa Seydoux', 'Tilda Swinton', 'Tom Wilkinson', 'Owen Wilson', 'Florian Lukas', 'Bob Balaban', 'Fisher Stevens', 'Wallace Wolodarsky', 'Waris Ahluwalia', 'Larry Pine', 'Karl Markovics', 'Volker Michalowski', 'Daniel Steiner', 'Hendrik von Bültzingslöwen', 'Lisa Kreuzer', 'Show All…', 'Rainer Reiners', 'Sabine Urig', 'Matthias Matschke', 'Philipp Sonntag', 'Hans Martin Stier', 'Giselda Volodi', 'Neal Huff', 'Steffen Scheumann', 'Milton Welsh', 'Piet Paes', 'Michaela Caspar', 'Heike Hanold-Lynch', 'Roy Macready', 'Carl Sprague', 'Golo Euler', 'Roman Berger', 'Michael Benthin', 'Lucas Hedges', 'Wolfgang Ceczor', 'Georg Tryphon', 'Gabriel Rush', 'Hannes Wegener', 'Gerald Sullivan', 'Ben Howard', 'Marko Dyrlich', 'Jella Niemann', 'Marcel Mazur', 'Robert Bienas', 'Oliver Claridge', 'Bernhard Kremser', 'Kunichi Nomura', 'Sister Anna Rademacher', 'Heinz-Werner Jeschkowski', 'Sabine Euler', 'Renate Klein', 'Paul Schlase', 'Darin Damjanow', 'Dar Ronge', 'Robin Hurlstone', 'Jutta Westphal', 'Gisela Bech', 'Birgit Müller', 'Ursula Kuhnt', 'Monika Krüger', 'Wolfram Nielacny', 'John Peet', 'Jürgen Schwämmle', 'Frank Jacob', 'Lennart Meyer', 'Alfred Hänel', 'Manpreet Gerlach', 'David Adamik', 'Moritz Hepper', 'David Cioffi', 'Oliver Hazell', 'Bohumil Váchal', 'Ed Munro', 'Francesco Zippel', 'Enrico Hoffmann', 'Marie Goyette', 'Jeno Orosz', 'Gyula Lukács', 'Georg Rittmannsperger', 'Dirk Bossmann', 'Arwin Lobedann', 'Matthias Holfert', 'Reinhold Hegelow', 'Steffen Nixdorf', 'Manfred Lindner']",4.5,4.18,https://letterboxd.com//film/the-grand-budapest-hotel/
The Raid 2,2014,Gareth Evans,"['Iko Uwais', 'Arifin Putra', 'Oka Antara', 'Tio Pakusadewo', 'Alex Abbad', ""Ken'ichi Endô"", 'Cok Simbara', 'Cecep Arif Rahman', 'Julie Estelle', 'Very Tri Yulisman', 'Yayan Ruhian', 'Kazuki Kitamura', 'Ryuhei Matsuda', 'Donny Alamsyah', 'Roy Marten', 'Epy Kusnandar', 'Marsha Timothy', 'Zack Lee', 'Pong Harjatmo', 'Henky Solaiman', 'Mike Lucock', 'Deddy Sutomo']",4.5,3.95,https://letterboxd.com//film/the-raid-2/
