Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Feels Good Man,2020,Arthur Jones,"['Matt Furie', 'Aiyana Udesen', 'Chris Sullivan', 'Johnny Ryan', 'Lisa Hanawalt', 'Emily Heller', 'Susan Blackmore', 'Dale Beran', 'Mills', 'Peder Riis', 'Aleks Krotoski', 'Brian McMullen', 'Joel Finkelstein', 'Aaron Sankin', 'Matt Braynard', 'John Michael Greer', 'Skinner', 'Adam Serwer', 'Rachael Finley', 'Hampton Boyer', 'Kevin Sukho Lee', 'Arthur Jones', 'Peter Kell', 'Jeremy Blackburn', 'Louis Tompros', 'Stephanie Lin', 'Oren Segal', 'Alex Jones', 'Donald Trump', 'Show All…', 'Hillary Clinton', 'Melania Trump', 'Samantha Bee', 'Robert Barnes', 'Stephen Colbert', 'Ursala Furie', 'Nicolette Gray', 'Rachel Maddow', 'Mike Majlak', 'Phil McGraw', 'Nicki Minaj', 'Kiah Morris', 'Logan Paul', 'Katy Perry', 'Christopher Poole', 'Marc Randazza', 'Joy Reid', 'Toby Reynolds', 'Elliot Rodger', 'Richard Spencer', 'Donald Trump, Jr.']",4,3.88,https://letterboxd.com//film/feels-good-man/
Promising Young Woman,2020,Emerald Fennell,"['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown', 'Jennifer Coolidge', 'Laverne Cox', 'Chris Lowell', 'Molly Shannon', 'Connie Britton', 'Adam Brody', 'Max Greenfield', 'Christopher Mintz-Plasse', 'Steve Monroe', 'Sam Richardson', 'Ray Nicholson', 'Timothy E. Goodwin', 'Alli Hart', 'Loren Paul', 'Scott Aschenbrenner', 'Gabriel Oliva', 'Bryan Lillis', 'Francisca Estevez', 'Lorna Scott', 'Casey Adams', 'Vince Lozano', 'Mike Horton', 'Angela Zhou', 'Austin Talynn Carpenter', 'Emerald Fennell', 'Show All…', 'Alfred Molina']",3.5,3.79,https://letterboxd.com//film/promising-young-woman/
Don't F**k with Cats: Hunting an Internet Killer,2019,Mark Lewis,"['Deanna Thompson', 'John Green']",nan,3.63,https://letterboxd.com//film/dont-fk-with-cats-hunting-an-internet-killer/
Star Wars: The Rise of Skywalker,2019,J.J. Abrams,"['Carrie Fisher', 'Mark Hamill', 'Daisy Ridley', 'Adam Driver', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant', ""Lupita Nyong'o"", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid', 'Billy Dee Williams', 'Greg Grunberg', 'Shirley Henderson', 'Billie Lourd', 'Dominic Monaghan', 'Hassan Taj', 'Lee Towersey', 'Brian Herring', 'Dave Chapman', 'Richard Guiver', 'Lynn Robertson Bruce', 'J.J. Abrams', 'Claire Roi Harvey', 'Richard Coombs', 'Show All…', 'Matt Denton', 'Nick Kellington', 'Mandeep Dhillon', 'Alison Rose', 'Amanda Lawrence', 'Tanya Moodie', 'Simon Paisley Day', 'Geff Francis', 'Amanda Hale', 'Amir El-Masry', 'Aidan Cook', 'Martin Wilde', 'Anton Simpson-Tidy', 'Lukaz Leong', 'Tom Rodgers', 'Joe Kennard', 'Ashley Beck', 'Bryony Miller', 'Cyril Nri', 'Angela Christian', 'Indra Ové', 'Richard Bremmer', 'Richard Durden', 'Andrew Havill', 'Nasser Memarzia', 'Patrick Kennedy', 'Aaron Neil', 'Joe Hewetson', 'Raghad Chaar', 'Mimi Ndiweni', 'Tom Wilton', 'Chris Terrio', 'Kiran Shah', 'Debra Wilson', 'Josef Altin', 'Vinette Robinson', 'Mike Quinn', 'Bill Kipsang Rotich', 'Ann Firbank', 'Diana Kent', 'Warwick Davis', 'Harrison Davis', 'Elliot Hawkes', 'Philicia Saunders', 'John Williams', 'Nigel Godrich', 'Dhani Harrison', 'J.D. Dillard', 'Dave Hearn', 'Rochenda Sandall', 'Jacob Fortune-Lloyd', 'Andreea Diac', 'Liam Cook', 'Denis Lawson', 'Carolyn Hennesy', 'Paul Kasey', 'Matthew Wood', 'James Earl Jones', 'Andy Serkis', 'Josefine Irrera Jackson', 'Cailey Fleming', 'Jodie Comer', 'Billy Howle', 'Hayden Christensen', ""Olivia d'Abo"", 'Ashley Eckstein', 'Jennifer Hale', 'Samuel L. Jackson', 'Ewan McGregor', 'Alec Guinness', 'Frank Oz', 'Angelique Perrin', 'Freddie Prinze Jr.', 'Liam Neeson', 'Harrison Ford', 'Lin-Manuel Miranda', 'Ed Sheeran', 'Gerald W. Abrams', 'Kadrolsha Ona Carole', 'Jeff Garlin', 'Karl Urban', 'Reggie Watts', 'Kevin Smith']",2,2.71,https://letterboxd.com//film/star-wars-the-rise-of-skywalker/
The Gentlemen,2019,Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Henry Golding', 'Michelle Dockery', 'Jeremy Strong', 'Colin Farrell', 'Hugh Grant', 'Eddie Marsan', 'Chidi Ajufo', 'Simon R. Barker', 'Brittany Ashworth', 'Jason Wong', 'Jordan Long', 'Mike Bodnar', 'Christopher Evangelou', 'Coco Sumner', 'Chloe Arrowsmith', 'Russell Balogh', 'Steve Barnett', 'Max Bennett', 'Bruce Chong', 'Danny Griffin', 'Togo Igawa', 'Jack Jones', 'Eugenia Kuzmina', 'Lyne Renee', 'James Warren', 'Elle Black', 'Tom Wu']",4,3.61,https://letterboxd.com//film/the-gentlemen/
1917,2019,Sam Mendes,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Claire Duburcq', 'Colin Firth', 'Benedict Cumberbatch', 'Daniel Mays', 'Adrian Scarborough', 'Chris Walley', 'Nabhaan Rizwan', 'Jamie Parker', 'Tommy French', 'Paul Tinto', 'Billy Postlethwaite', 'Richard McCabe', 'Justin Edwards', 'Jonny Lavelle', 'Gabriel Akuwudike', 'Pip Carter', 'Michael Jibson', 'Andy Apollo', 'Josef Davies', 'Spike Leighton', 'Robert Maaser', 'Gerran Howell', 'Adam Hugill', 'Benjamin Adams', 'Show All…', 'Anson Boon', 'Kenny Fullwood', 'Ryan Nolan', 'Elliot Baxter', 'Bogdan Kumshatsky', 'Kye Mckee', 'Ivy-I Macnamara', 'Merlin Leonhardt', 'Taddeo Kufus', 'Jos Slovick', 'Luke Hornsby', 'Jack Shalloo', 'Elliot Edusah', 'Joe Mendes', 'Jacob James Beswick', 'Ian Wilson', 'Bradley Connor', 'John Hollingworth', 'Daniel Attwell', 'Samson Cox-Vinell', 'Richard Dempsey', 'Phil Cheadle', 'Jonah Russell', 'Michael Rouse']",4,4.08,https://letterboxd.com//film/1917/
Klaus,2019,Sergio Pablos,"['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Joan Cusack', 'Norm Macdonald', 'Will Sasso', 'Sergio Pablos', 'Mila Brener', 'Neda Margrethe Labba', 'Sydney Brower', 'Teddy Blum', 'Julian Zane', 'Emma Shannon', 'Kendall Joy Hall', 'Sky Alexis', 'Tucker Meek', 'Amanda Philipson', 'Finn Carr', 'Lucian Perez', 'Emma Yarovinsky', 'Jaeden Bettencourt', 'Hailey Hermida', 'Evan Agos', 'Leo Miller', 'Bailey Rae Fenderson', 'Ayden Soria', 'Reiulf Aleksandersen']",4.5,4.03,https://letterboxd.com//film/klaus/
El Camino: A Breaking Bad Movie,2019,Vince Gilligan,"['Aaron Paul', 'Jesse Plemons', 'Charles Baker', 'Matt Jones', 'Scott MacArthur', 'Larry Hankin', 'Scott Shepherd', 'Tom Bower', 'Robert Forster', 'Jonathan Banks', 'Bryan Cranston', 'Krysten Ritter', 'Kevin Rankin', 'Tess Harper', 'Michael Bofshever', 'Marla Gibbs', 'Brendan Sexton III', 'Johnny Ortiz', 'Todd Terry', 'Julie Pearl', 'Gloria Sandoval', 'Carlos Sepulveda', 'Matthew Van Wettering', 'Chris Bylsma', 'David Mattey', 'Cody Renee Cameron', 'Gregory Steven Soliz', 'Danielle Todesco', 'Simon Drobik', 'Show All…', 'Alison Law', 'Gabriela Alicia Ortega']",3.5,3.52,https://letterboxd.com//film/el-camino-a-breaking-bad-movie/
Saint Maud,2019,Rose Glass,"['Morfydd Clark', 'Jennifer Ehle', 'Lily Knight', 'Lily Frazer', 'Turlough Convery', 'Rosie Sansom', 'Marcus Hutton', 'Carl Prekopp', 'Noa Bodner', 'Takatsuna Mukai', 'Jel Djelal', 'Joanna Richardson', 'Jonathan Milshaw', 'Fiona Thompson', 'Sona Vyas', 'Faith Edwards', 'Evo Payne', 'Amanda Vinter', 'Caoilfhionn Dunne', 'Louise Port', 'Paul Edward Davies', 'Linda E. Greenwood', 'Andrew G. Ogleby', 'Susanne Schraps', 'Colin Thompson', 'Bianka Vago', 'Jake Wyatt']",3.5,3.62,https://letterboxd.com//film/saint-maud/
Jojo Rabbit,2019,Taika Waititi,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson', 'Taika Waititi', 'Sam Rockwell', 'Rebel Wilson', 'Alfie Allen', 'Stephen Merchant', 'Archie Yates', 'Luke Brandon Field', 'Joe Weintraub', 'Brian Caspe', 'James McVan', 'Judith Georgi', 'Victoria Hogan', 'Bethany Adams', 'Iva Šindelková', 'Matej Seifert', 'Trish Osmond', 'Odeta Cali', 'Samuel Bogner', 'Robert East', 'Curtis Matthew', 'Hardy Griffin Davis', 'Christian Howlings', 'Billy Rayner', 'Gabriel Andrews', 'Stanislav Callas', 'Sam Haygarth', 'Show All…', 'Issy Stewart', 'Gilby Griffin Davis', 'Adolf Hitler']",4,4.03,https://letterboxd.com//film/jojo-rabbit/
