Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Mothers' Instinct,2024,Benoît Delhomme,"['Anne Hathaway', 'Jessica Chastain', 'Anders Danielsen Lie', 'Josh Charles', 'Caroline Lagerfelt', 'Alexander Blaise', 'Steve Routman', 'Joel Nagle', 'Larry Petersen']",3.11,nan,"['Thriller', 'Drama']",94,"['Belgium', 'UK', 'USA']",English,['English'],"Housewives Alice and Celine are best friends and neighbors who seem to have it all. However, when a tragic accident shatters the harmony of their lives, guilt, suspicion and paranoia begin to unravel their sisterly bond.","['Freckle Films', 'Anton', 'Mosaic', 'Versus Production']",25327,7413,4594,24,97,277,426,1732,2699,6479,4955,3894,826,1099,22484,https://letterboxd.com/film/mothers-instinct-2024/
She Came to Me,2023,Rebecca Miller,"['Peter Dinklage', 'Anne Hathaway', 'Marisa Tomei', 'Evan Ellison', 'Harlow Jane', 'Joanna Kulig', ""Brian d'Arcy James"", 'Judy Gold', 'Anthony Roth Costanzo', 'Samuel H. Levine', 'Sue Jean Kim', 'Gregg Edelman', 'Aalok Mehta', 'Chris Gethard', 'Dale Soules', 'Tommy Buck', 'George Sheanshang', 'Francesca Faridany', 'Bryan Terrell Clark', 'Tamya Taylor', 'Jen Ponton', 'Greer Grimsley']",2.91,nan,"['Romance', 'Comedy', 'Drama']",102,"['UK', 'USA']",English,"['English', 'Polish']","Composer Steven Lauddem is plagued by a creative block which leaves him unable to finish the score for his big comeback opera. When his former therapist-turned-wife Patricia suggests he rekindle his creativity by getting lost in the city, Steven sets out in search of inspiration. His epiphany comes after he meets a spirited woman named Katrina and discovers his life has much more potential than he bargained for, or ever could have imagined.","['Round Films', 'Killer Films', 'Protagonist Pictures', 'Somewhere Pictures']",13478,4797,2233,7,127,391,546,1526,1780,2890,1710,1261,223,317,10771,https://letterboxd.com/film/she-came-to-me/
Locked Down,2021,Doug Liman,"['Anne Hathaway', 'Chiwetel Ejiofor', 'Stephen Merchant', 'Dulé Hill', 'Jazmyn Simon', 'Ben Kingsley', 'Ben Stiller', 'Mindy Kaling', 'Lucy Boynton', 'Mark Gatiss', 'Claes Bang', 'Sam Spruell', 'Frances Ruffelle', 'Bobby Schofield', 'Tallulah Greive', 'Katie Leung', 'Eva Röse', 'Mark Lisseman', 'Anna Behne', 'Alexandra Reimer-Duffy', 'Marek Larwood', 'Olivia Onyehara', 'Quinn Dempsey Stiller', 'Louis Ball', 'Dan Ball', 'Romel Onuoha', 'Shereen Gray', 'Andreas Grant', 'Hughie Mann', 'Vito Narcisse Perkins', 'Ross Young']",2.32,nan,"['Crime', 'Comedy', 'Romance']",118,"['UK', 'USA']",English,['English'],"During a COVID-19 lockdown, sparring couple Linda and Paxton call a truce to attempt a high-risk jewellery heist at one of the world's most exclusive department stores, Harrods.","['AGC Studios', 'Storyteller Productions', 'Warner Bros. Pictures']",20394,5546,1613,1,763,1915,1803,3544,2665,2711,1130,620,80,147,15378,https://letterboxd.com/film/locked-down-2021/
Havoc,2005,Barbara Kopple,"['Anne Hathaway', 'Bijou Phillips', 'Shiri Appleby', 'Michael Biehn', 'Joseph Gordon-Levitt', ""Matt O'Leary"", 'Freddy Rodríguez', 'Laura San Giacomo', 'Mike Vogel', 'Raymond Cruz', 'Alexis Dziena', 'Channing Tatum', 'Sam Hennings', 'Cecilia Peck', 'Josh Peck', 'J. D. Pardo', 'Terri Hanauer', 'Sam Bottoms', 'Jocelyn Towne', 'Jillian McWhirter', 'Laura Breckenridge', 'Alysia Joy Powell', 'Jon Erik', 'Tammy Trull', 'Jossara Jinaro', 'Richard Pagano', 'Angela Meryl', 'John Morrissey']",2.39,nan,"['Drama', 'Crime']",85,"['Germany', 'USA']",English,"['English', 'Spanish']","A wealthy Los Angeles teen and her superficial friends wants to break out of suburbia and experience Southern California's ""gangsta"" lifestyle. But problems arise when the preppies get in over their heads and provoke the wrath of a violent Latino gang. Suddenly, their role-playing seems a little too real.","['Media 8 Entertainment', 'New Line Cinema']",14589,3127,1214,9,529,970,965,2014,1530,1628,598,456,60,158,8908,https://letterboxd.com/film/havoc/
Family Guy Presents: It's a Trap!,2010,Peter Shin,"['Seth MacFarlane', 'Alex Borstein', 'Seth Green', 'Mila Kunis', 'Carrie Fisher', 'H. Jon Benjamin', 'Mike Henry', 'Patrick Warburton', 'Dee Bradley Baker', 'Adam West', 'John G. Brennan', 'Mark Hentemann', 'Patrick Stewart', 'Colin Ford', 'Mary Hart', 'Anne Hathaway', 'Steve Callaghan', 'Rush Limbaugh', 'Bruce McGill', 'Michael Dorn', 'Yara Shahidi', 'John Viener', 'Max Burkholder', 'Alec Sulkin', 'Chris Cox', 'Chris Edgerly', 'Chris Sheridan', 'Danny Smith', 'Ralph Garman', 'Robin Walsh', 'Ted Knight', 'Conway Twitty']",3.25,nan,"['Science Fiction', 'TV Movie', 'Comedy', 'Animation']",43,['USA'],English,['English'],"With the Griffins stuck again at home during a blackout, Peter tells the story of “Star Wars Episode VI: Return of the Jedi.”","['20th Century Fox Television', 'Fuzzy Door Productions', 'Fox Television Animation']",43935,2993,5696,17,217,462,440,1583,2120,6509,3571,3141,454,1086,19583,https://letterboxd.com/film/family-guy-presents-its-a-trap/
The Last Thing He Wanted,2020,Dee Rees,"['Anne Hathaway', 'Ben Affleck', 'Rosie Perez', 'Willem Dafoe', 'Edi Gathegi', 'Mel Rodriguez', 'Onata Aprile', 'Toby Jones', 'Carlos Leal', 'Ben Chase', 'Julian Gamble', 'Robert Sedgwick', 'Bill Kelly', 'David Vadim', 'César Galindez', 'Diomedes Rodriguez', 'Casiano Ancalle', 'Lee Markham', 'Betty Jeune', 'Laura Niemi', 'James Scully', 'Danny Loecken', 'Adam Hose', 'J. Scott Browning', 'DeVere Jehl', 'Dylan Wilson Barnes', 'Ed Berliner', 'Charles Gemmill', 'Barbara Andres', 'Sewell Whitney', 'Jené', 'Sarah Tolan-Mee', 'Janayra Reyes', 'Sandra Rodriguez', 'Yetta Gottesman', 'Romain Gateau', 'Antonio De Leo', 'Luis Echeverri', 'Brian Rechkemmer', 'Josette Pagan', 'Juan Carlos Diaz', 'Aurelio Lima', 'Camilo José Torres', 'Yasiel Trinidad', 'Marcos Ramos', 'Sulma Hernández', 'Maurim E. Chiclana Andino', 'María Ruperto', 'Norman Santiago', 'Axel Cintrón', 'Mariel Pabón', 'Francisco Viñolo', 'Kira Kirk', 'Jason Lumberjack Johnson', 'Matt Minich', 'Christopher Páez Rivera', 'Michael Biggam', 'Norman Grant', 'Iván Llanos', 'Abraham Henderson', 'Julio Gastón Ramos', 'Ndsettia Argyle', 'Michael Ray Davis', 'Lee Poehlman', 'Florent Gateau']",1.91,nan,"['Thriller', 'Drama']",116,"['UK', 'USA']",English,"['English', 'French', 'Spanish']","At the turning point of the Iran-Contra affair, Elena McMahon, a fearless investigative journalist covering the 1984 US presidential campaign, puts herself in danger when she abandons her assigned task in order to fulfill the last wish of her ailing father, a mysterious man whose past activities she barely knows.","['Elevated Films', 'Little Red Hen', 'The Fyzz']",14777,4721,623,1,1055,2448,1977,2619,1108,1034,324,270,31,84,10950,https://letterboxd.com/film/the-last-thing-he-wanted/
Mother Mary,nan,David Lowery,"['Anne Hathaway', 'Michaela Coel', 'Hunter Schafer', 'FKA Twigs', 'Kaia Gerber', 'Alba Baptista', 'Jessica Brown Findlay', 'Sian Clifford', 'Isaura Barbé-Brown']",nan,nan,"['Music', 'Drama']",nan,"['Germany', 'UK', 'USA']",English,['English'],An epic pop melodrama following a fictional musician and her relationship with an iconic fashion designer.,"['A24', 'Homebird Productions', 'Augenschein Filmproduktion', 'Topic Studios', 'Sailor Bear']",70,3185,49,0,0,0,0,0,0,0,0,0,0,0,0,https://letterboxd.com/film/mother-mary-1/
Passengers,2008,Rodrigo García,"['Anne Hathaway', 'Patrick Wilson', 'Andre Braugher', 'Dianne Wiest', 'David Morse', 'William B. Davis', 'Ryan Robbins', 'Clea DuVall', 'Don Thompson', 'Andrew Wheeler', 'Chelah Horsdal', 'Elzanne Fourie', 'Stacy Grant', 'Conner Dwelly', 'Claire Smithies', 'Karen Elizabeth Austin']",2.59,nan,"['Drama', 'Thriller', 'Romance', 'Mystery']",93,"['Canada', 'USA']",English,['English'],"After a plane crash, a young therapist, Claire, is assigned by her mentor to counsel the flight's five survivors. When they share their recollections of the incident -- which some say include an explosion that the airline claims never happened -- Claire is intrigued by Eric, the most secretive of the passengers.","['TriStar Pictures', 'Mandate Pictures', 'Persistent Entertainment', 'Intuition Films', 'Mandate International']",17313,1796,1092,6,231,692,775,1876,1703,2294,887,661,108,207,9434,https://letterboxd.com/film/passengers/
Interstellar: Nolan's Odyssey,2014,Dan Storey,"['Alex Zane', 'Michael Caine', 'Jessica Chastain', 'Anne Hathaway', 'Hugh Jackman', 'Matthew McConaughey', 'Christopher Nolan', 'Hoyte van Hoytema', 'Nathan Crowley']",3.98,nan,['Documentary'],23,['UK'],English,['English'],A look behind the lens of Christopher Nolan's space epic.,['Sky Movies'],18777,1058,4686,190,59,105,43,191,209,847,862,2655,1141,3656,9768,https://letterboxd.com/film/interstellar-nolans-odyssey/
WeCrashed,2022,"John Requa, Glenn Ficarra","['Jared Leto', 'Anne Hathaway', 'Kyle Marvin']",3.49,nan,['Drama'],427,['USA'],English,['English'],"Inspired by actual events — and the love story at the center of it all. WeWork grew from a single coworking space into a global brand worth $47 billion in under a decade. Then, in less than a year, its valuation dropped $40 billion. What happened?","['Wondery', 'Paradox', 'Zaftig Films', 'Somewhere Pictures', 'Piece of Work Productions', 'Vorpal Rabbit']",7436,1207,1439,1,25,41,50,217,289,1041,1337,1429,243,332,5004,https://letterboxd.com/film/wecrashed/
