Film_title,Release_year,Director,Average_rating,Letterboxd URL
Barry Lyndon,1975,Stanley Kubrick,4.28,https://letterboxd.com//film/barry-lyndon/
Wild Strawberries,1957,Ingmar Bergman,4.24,https://letterboxd.com//film/wild-strawberries/
Andrei Rublev,1966,Andrei Tarkovsky,4.37,https://letterboxd.com//film/andrei-rublev/
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro González Iñárritu,3.91,https://letterboxd.com//film/birdman-or-the-unexpected-virtue-of-ignorance/
S21: The Khmer Rouge Death Machine,2003,Rithy Panh,3.66,https://letterboxd.com//film/s21-the-khmer-rouge-death-machine/
Shoah,1985,Claude Lanzmann,4.49,https://letterboxd.com//film/shoah/
The Great Dictator,1940,Charlie Chaplin,4.22,https://letterboxd.com//film/the-great-dictator/
Persona,1966,Ingmar Bergman,4.38,https://letterboxd.com//film/persona/
Gone Girl,2014,David Fincher,4.02,https://letterboxd.com//film/gone-girl/
Come and See,1985,Elem Klimov,4.58,https://letterboxd.com//film/come-and-see/
The Vanishing,1988,George Sluizer,3.95,https://letterboxd.com//film/the-vanishing/
Character,1997,Mike van Diem,3.67,https://letterboxd.com//film/character/
The Dream,1985,Pieter Verhoeff,nan,https://letterboxd.com//film/the-dream-1985/
Good Bye Lenin!,2003,Wolfgang Becker,3.75,https://letterboxd.com//film/good-bye-lenin/
Nobody Knows,2004,Hirokazu Kore-eda,4.17,https://letterboxd.com//film/nobody-knows/
A Dog's Will,2000,Guel Arraes,4.51,https://letterboxd.com//film/a-dogs-will/
Che: Part One,2008,Steven Soderbergh,3.64,https://letterboxd.com//film/che-part-one/
Stalker,1979,Andrei Tarkovsky,4.4,https://letterboxd.com//film/stalker/
Woman in the Dunes,1964,Hiroshi Teshigahara,4.37,https://letterboxd.com//film/woman-in-the-dunes/
The Unbearable Lightness of Being,1988,Philip Kaufman,3.56,https://letterboxd.com//film/the-unbearable-lightness-of-being/
