Film_title,Release_year,Director,Average_rating,Letterboxd URL
The Human Centipede 2 (Full Sequence),2011,Tom Six,1.85,https://letterboxd.com//film/the-human-centipede-2-full-sequence/
Boss,2013,Anthony D'Souza,2.37,https://letterboxd.com//film/boss-2013/
"Human, Space, Time and Human",2018,Kim Ki-duk,2.52,https://letterboxd.com//film/human-space-time-and-human/
A Hairy Tale,2019,Homayoun Ghanizadeh,2.43,https://letterboxd.com//film/a-hairy-tale/
Xuxa and the Mystery of the Little Ugly Princess,2009,Tizuka Yamasaki,2.56,https://letterboxd.com//film/xuxa-and-the-mystery-of-the-little-ugly-princess/
Rat Pfink a Boo Boo,1966,Ray Dennis Steckler,2.71,https://letterboxd.com//film/rat-pfink-a-boo-boo/
Far Far Away Idol,2004,Simon J. Smith,3.27,https://letterboxd.com//film/far-far-away-idol/
TDF Really Works,2011,Ari Aster,1.65,https://letterboxd.com//film/tdf-really-works/
Stalked by My Doctor,2015,Doug Campbell,2.6,https://letterboxd.com//film/stalked-by-my-doctor/
Lovestruck: The Musical,2013,Sanaa Hamri,2.77,https://letterboxd.com//film/lovestruck-the-musical/
Hot Sweet Sour,2017,Andaç Haznedaroğlu,2.68,https://letterboxd.com//film/hot-sweet-sour/
Recep Ivedik,2008,Togan Gökbakar,1.95,https://letterboxd.com//film/recep-ivedik/
Jeff Dunham: Spark of Insanity,2007,Michael Simon,2.96,https://letterboxd.com//film/jeff-dunham-spark-of-insanity/
August Underground's Penance,2007,Fred Vogel,2.18,https://letterboxd.com//film/august-undergrounds-penance/
B.A.P.S.,1997,Robert Townsend,2.6,https://letterboxd.com//film/baps/
Sorry if I Love You,2008,Federico Moccia,2.18,https://letterboxd.com//film/sorry-if-i-love-you/
Letters to God,2010,"David Nixon, Patrick Doughtie",2.62,https://letterboxd.com//film/letters-to-god/
Olaf's Frozen Adventure,2017,"Kevin Deters, Stevie Wermers",2.41,https://letterboxd.com//film/olafs-frozen-adventure/
Cool as Ice,1991,David Kellogg,1.8,https://letterboxd.com//film/cool-as-ice/
Winx Club: The Secret of the Lost Kingdom,2007,Iginio Straffi,3.22,https://letterboxd.com//film/winx-club-the-secret-of-the-lost-kingdom/
The Adventures of Food Boy,2008,Dane Cannon,1.57,https://letterboxd.com//film/the-adventures-of-food-boy/
Stahlfabrik,2017,Alper Turfan,3.88,https://letterboxd.com//film/stahlfabrik/
Triumph of the Will,1935,Leni Riefenstahl,3.06,https://letterboxd.com//film/triumph-of-the-will/
Bratz: Fashion Pixiez,2007,,3.56,https://letterboxd.com//film/bratz-fashion-pixiez/
Xuxa e o Tesouro da Cidade Perdida,2004,Moacyr Góes,2.54,https://letterboxd.com//film/xuxa-e-o-tesouro-da-cidade-perdida/
LEGO: The Adventures of Clutch Powers,2010,Howard E. Baker,2.84,https://letterboxd.com//film/lego-the-adventures-of-clutch-powers/
Postal,2007,Uwe Boll,2.1,https://letterboxd.com//film/postal/
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008,Bruce Hendricks,3.0,https://letterboxd.com//film/hannah-montana-miley-cyrus-best-of-both-worlds-concert/
White Chicks,2004,Keenen Ivory Wayans,2.9,https://letterboxd.com//film/white-chicks/
Under the Sea: A Descendants Story,2018,Hasraf Dulull,2.27,https://letterboxd.com//film/under-the-sea-a-descendants-story/
KISS Meets the Phantom of the Park,1978,Gordon Hessler,2.36,https://letterboxd.com//film/kiss-meets-the-phantom-of-the-park/
Breakthrough,2019,Roxann Dawson,2.52,https://letterboxd.com//film/breakthrough-2019/
Lua de Cristal,1990,Tizuka Yamasaki,2.52,https://letterboxd.com//film/lua-de-cristal/
Woodchipper Massacre,1988,Jon McBride,2.71,https://letterboxd.com//film/woodchipper-massacre/
Shrek the Musical,2013,Michael John Warren,3.1,https://letterboxd.com//film/shrek-the-musical/
Cyber Seduction: His Secret Life,2005,Tom McLoughlin,1.5,https://letterboxd.com//film/cyber-seduction-his-secret-life/
Facing the Giants,2006,Alex Kendrick,2.39,https://letterboxd.com//film/facing-the-giants/
Recep Ivedik 2,2009,Togan Gökbakar,1.89,https://letterboxd.com//film/recep-ivedik-2/
Neo Ned,2005,Van Fischer,2.78,https://letterboxd.com//film/neo-ned/
From Beginning to End,2009,Aluizio Abranches,2.62,https://letterboxd.com//film/from-beginning-to-end/
A Cinderella Story: If the Shoe Fits,2016,Michelle Johnston,2.4,https://letterboxd.com//film/a-cinderella-story-if-the-shoe-fits/
God's Not Dead 2,2016,Harold Cronk,1.35,https://letterboxd.com//film/gods-not-dead-2/
Is Sumiyati Going to Hell?,2016,Meshal Aljaser,3.05,https://letterboxd.com//film/is-sumiyati-going-to-hell/
Kolpaçino,2009,Atıl İnanç,3.18,https://letterboxd.com//film/kolpacino/
A Madea Christmas,2013,Tyler Perry,2.24,https://letterboxd.com//film/a-madea-christmas-2013/
Triggered,2020,Alastair Orr,3.1,https://letterboxd.com//film/triggered-2020/
Scales: Mermaids Are Real,2017,Kevan Peterson,1.53,https://letterboxd.com//film/scales-mermaids-are-real/
Happy New Year,2014,Farah Khan,2.36,https://letterboxd.com//film/happy-new-year-2014/
The Barbie Diaries,2006,"Kallan Kagan, Eric Fogel",3.05,https://letterboxd.com//film/the-barbie-diaries/
Jeff Dunham: Arguing with Myself,2006,Manny Rodriguez,2.96,https://letterboxd.com//film/jeff-dunham-arguing-with-myself/
Sijjin,2014,Alper Mestçi,2.47,https://letterboxd.com//film/sijjin/
CarousHELL,2016,Steve Rudzinski,2.86,https://letterboxd.com//film/caroushell/
Courageous,2011,Alex Kendrick,2.52,https://letterboxd.com//film/courageous/
K-12,2019,Melanie Martinez,2.97,https://letterboxd.com//film/k-12/
Beverly Hills Chihuahua 3 - Viva La Fiesta!,2012,Lev L. Spiro,1.74,https://letterboxd.com//film/beverly-hills-chihuahua-3-viva-la-fiesta/
Cousins,2019,"Thiago Cazado, Mauro Carvalho",1.99,https://letterboxd.com//film/cousins-2019/
Astral City: A Spiritual Journey,2010,Wagner de Assis,2.78,https://letterboxd.com//film/astral-city-a-spiritual-journey/
The Kissing Booth,2018,Vince Marcello,1.8,https://letterboxd.com//film/the-kissing-booth/
Sex and the City 2,2010,Michael Patrick King,2.18,https://letterboxd.com//film/sex-and-the-city-2/
Barbie: Dolphin Magic,2017,"Conrad Helten, Michael Douglas",2.71,https://letterboxd.com//film/barbie-dolphin-magic/
Blonde Cobra,1963,"Ken Jacobs, Bob Fleischner",2.02,https://letterboxd.com//film/blonde-cobra/
Hillary's America: The Secret History of the Democratic Party,2016,"Dinesh D'Souza, Bruce Schooley",1.34,https://letterboxd.com//film/hillarys-america-the-secret-history-of-the-democratic-party/
O Vendedor de Sonhos,2016,Jayme Monjardim,2.29,https://letterboxd.com//film/o-vendedor-de-sonhos/
Not Cinderella's Type,2018,Brian Brough,2.39,https://letterboxd.com//film/not-cinderellas-type/
American Guinea Pig: Bloodshock,2015,Marcus Koch,3.04,https://letterboxd.com//film/american-guinea-pig-bloodshock/
"Salò, or the 120 Days of Sodom",1975,Pier Paolo Pasolini,3.29,https://letterboxd.com//film/salo-or-the-120-days-of-sodom/
"Monkeyshines, No. 1",1890,"William K.L. Dickson, William Heise",2.76,https://letterboxd.com//film/monkeyshines-no-1/
Sorry If I Call You Love,2014,Joaquín Llamas,2.52,https://letterboxd.com//film/sorry-if-i-call-you-love/
Crossroads,2002,Tamra Davis,2.3,https://letterboxd.com//film/crossroads-2002/
"Monster High: Boo York, Boo York",2015,William Lau,3.34,https://letterboxd.com//film/monster-high-boo-york-boo-york/
Film Socialisme,2010,Jean-Luc Godard,3.25,https://letterboxd.com//film/film-socialisme/
Xuxa Popstar,2000,"Tizuka Yamasaki, Paulo Sérgio de Almeida",2.18,https://letterboxd.com//film/xuxa-popstar/
The Chaos Class in the Military,2005,Ferdi Eğilmez,1.89,https://letterboxd.com//film/the-chaos-class-in-the-military/
Hard Ticket to Hawaii,1987,Andy Sidaris,3.0,https://letterboxd.com//film/hard-ticket-to-hawaii/
Bodyguard,2011,Siddique,2.49,https://letterboxd.com//film/bodyguard-2011/
Holiday in Handcuffs,2007,Ron Underwood,2.4,https://letterboxd.com//film/holiday-in-handcuffs/
Aaaaaaaah!,2015,Steve Oram,2.79,https://letterboxd.com//film/aaaaaaaah/
Stonewall,2015,Roland Emmerich,2.13,https://letterboxd.com//film/stonewall-2015/
Sharknado 5: Global Swarming,2017,Anthony C. Ferrante,1.79,https://letterboxd.com//film/sharknado-5-global-swarming/
Slaughtered Vomit Dolls,2006,Lucifer Valentine,1.52,https://letterboxd.com//film/slaughtered-vomit-dolls/
Shawn Mendes: In Wonder,2020,Grant Singer,2.96,https://letterboxd.com//film/shawn-mendes-in-wonder/
Perfidious Byzantine,2000,Gani Müjde,2.82,https://letterboxd.com//film/perfidious-byzantine/
Violent Shit II,1992,Andreas Schnaas,2.4,https://letterboxd.com//film/violent-shit-ii/
Barbie: Star Light Adventure,2016,"Michael Goguen, Andrew Tan",3.01,https://letterboxd.com//film/barbie-star-light-adventure/
Lantouri,2016,Reza Dormishian,2.21,https://letterboxd.com//film/lantouri/
Hi Stranger,2016,Kirsten Lepore,3.38,https://letterboxd.com//film/hi-stranger/
Archie: To Riverdale and Back Again,1990,Dick Lowry,2.77,https://letterboxd.com//film/archie-to-riverdale-and-back-again/
Cuties,2020,Maïmouna Doucouré,2.68,https://letterboxd.com//film/cuties-2020/
The Harry Hill Movie,2013,Steve Bendelack,1.86,https://letterboxd.com//film/the-harry-hill-movie/
"Me, a Groupie",1970,"Jack Hill, Erwin C. Dietrich",2.56,https://letterboxd.com//film/me-a-groupie/
R.O.T.O.R.,1987,Cullen Blaine,2.06,https://letterboxd.com//film/rotor/
LOL,2012,Lisa Azuelos,2.38,https://letterboxd.com//film/lol-2012/
Bring It On: Worldwide #Cheersmack,2017,Robert Adetuyi,1.64,https://letterboxd.com//film/bring-it-on-worldwide-cheersmack/
Temptation: Confessions of a Marriage Counselor,2013,Tyler Perry,1.89,https://letterboxd.com//film/temptation-confessions-of-a-marriage-counselor/
Run Hide Fight,2020,Kyle Rankin,2.52,https://letterboxd.com//film/run-hide-fight-2020/
Chelsea Girls,1966,"Andy Warhol, Paul Morrissey",3.33,https://letterboxd.com//film/chelsea-girls/
High School Musical 3: Senior Year,2008,Kenny Ortega,2.97,https://letterboxd.com//film/high-school-musical-3-senior-year/
Curb Dance,2011,Harmony Korine,3.21,https://letterboxd.com//film/curb-dance/
Carmen: A Hip Hopera,2001,Robert Townsend,2.65,https://letterboxd.com//film/carmen-a-hip-hopera/
Elf Bowling the Movie,2007,Rex Piano,1.43,https://letterboxd.com//film/elf-bowling-the-movie/
Midnight Sun,2018,Scott Speer,2.63,https://letterboxd.com//film/midnight-sun-2018/
Marighella,2019,Wagner Moura,3.3,https://letterboxd.com//film/marighella-2019/
Orgy of the Dead,1965,Stephen C. Apostolof,2.16,https://letterboxd.com//film/orgy-of-the-dead/
Manuelita,1999,Manuel García Ferré,3.35,https://letterboxd.com//film/manuelita/
The Algerian War!,2014,Jean-Marie Straub,3.09,https://letterboxd.com//film/the-algerian-war/
Mac and Me,1988,Stewart Raffill,1.74,https://letterboxd.com//film/mac-and-me/
Repo! The Genetic Opera,2008,Darren Lynn Bousman,3.03,https://letterboxd.com//film/repo-the-genetic-opera/
A Madea Family Funeral,2019,Tyler Perry,1.95,https://letterboxd.com//film/a-madea-family-funeral/
Melbourne,2014,Nima Javidi,2.49,https://letterboxd.com//film/melbourne-2014/
Robot Monster,1953,Phil Tucker,2.03,https://letterboxd.com//film/robot-monster/
Fifty Shades Darker,2017,James Foley,1.96,https://letterboxd.com//film/fifty-shades-darker/
Hannah Montana: The Movie,2009,Peter Chelsom,2.9,https://letterboxd.com//film/hannah-montana-the-movie/
Eltilerin Savaşı,2020,Onur Bilgetay,2.4,https://letterboxd.com//film/eltilerin-savas/
Argoman the Fantastic Superman,1967,Sergio Grieco,2.46,https://letterboxd.com//film/argoman-the-fantastic-superman/
Rags,2012,Bille Woodruff,3.06,https://letterboxd.com//film/rags/
Detainment,2018,Vincent Lambe,2.63,https://letterboxd.com//film/detainment/
Couch,2003,Paul Thomas Anderson,2.2,https://letterboxd.com//film/couch/
Roundhay Garden Scene,1888,Louis Aimé Augustin Le Prince,3.19,https://letterboxd.com//film/roundhay-garden-scene/
The Little Rascals Save the Day,2014,Alex Zamm,2.43,https://letterboxd.com//film/the-little-rascals-save-the-day/
Redneck Zombies,1989,Pericles Lewnes,2.38,https://letterboxd.com//film/redneck-zombies/
Teen Beach Movie,2013,Jeffrey Hornaday,2.92,https://letterboxd.com//film/teen-beach-movie/
I Still Believe,2020,"Jon Erwin, Andrew Erwin",2.63,https://letterboxd.com//film/i-still-believe/
High Strung,2016,Michael Damian,2.62,https://letterboxd.com//film/high-strung-2016/
Dilwale,2015,Rohit Shetty,2.22,https://letterboxd.com//film/dilwale-2015/
Kiss and Cry,2017,Sean Cisterna,2.95,https://letterboxd.com//film/kiss-and-cry/
My Little Pony: The Movie,1986,Mike Joens,2.71,https://letterboxd.com//film/my-little-pony-the-movie/
No Manches Frida,2016,Nacho G. Velilla,1.94,https://letterboxd.com//film/no-manches-frida/
Devil Story,1985,Bernard Launois,3.03,https://letterboxd.com//film/devil-story/
Incel,2018,John Merizalde,1.86,https://letterboxd.com//film/incel/
Flywheel,2003,Alex Kendrick,2.12,https://letterboxd.com//film/flywheel/
Jessica Darling's It List,2016,Ali Scher,2.05,https://letterboxd.com//film/jessica-darlings-it-list/
Xuxa Requebra,1999,Tizuka Yamasaki,2.16,https://letterboxd.com//film/xuxa-requebra/
Madea's Big Happy Family,2011,Tyler Perry,2.52,https://letterboxd.com//film/madeas-big-happy-family/
Barbie: The Princess & The Popstar,2012,Ezekiel Norton,2.85,https://letterboxd.com//film/barbie-the-princess-the-popstar/
The Hobbit,1966,Gene Deitch,2.14,https://letterboxd.com//film/the-hobbit-1966/
Madea Goes to Jail,2009,Tyler Perry,2.36,https://letterboxd.com//film/madea-goes-to-jail/
Roadside Romeo,2008,Jugal Hansraj,2.1,https://letterboxd.com//film/roadside-romeo/
Manos: The Hands of Fate,1966,Harold P. Warren,1.35,https://letterboxd.com//film/manos-the-hands-of-fate/
Bratz Passion 4 Fashion Diamondz,2006,Mucci Fassett,3.22,https://letterboxd.com//film/bratz-passion-4-fashion-diamondz/
Bat Thumb,2001,David Bourla,2.66,https://letterboxd.com//film/bat-thumb/
Robo Vampire,1988,Joe Livingstone,2.4,https://letterboxd.com//film/robo-vampire/
Christmas Town,2019,David Weaver,2.71,https://letterboxd.com//film/christmas-town-1/
I Want You,2012,Fernando González Molina,2.5,https://letterboxd.com//film/i-want-you-2012/
Playing with Love,1977,Pier Giuseppe Murgia,2.79,https://letterboxd.com//film/playing-with-love/
"You, the World and I",2010,Jon Rafman,3.19,https://letterboxd.com//film/you-the-world-and-i/
Man Walking Around a Corner,1887,Louis Aimé Augustin Le Prince,2.52,https://letterboxd.com//film/man-walking-around-a-corner/
Corona Zombies,2020,Charles Band,1.74,https://letterboxd.com//film/corona-zombies/
The Blair Thumb,2002,Todd Portugal,2.84,https://letterboxd.com//film/the-blair-thumb/
The Choice,2016,Ross Katz,2.82,https://letterboxd.com//film/the-choice-2016/
Ladyworld,2018,Amanda Kramer,2.74,https://letterboxd.com//film/ladyworld/
Santa Claus,1959,René Cardona,1.95,https://letterboxd.com//film/santa-claus-1959/
The FP,2011,"Brandon Trost, Jason Trost",2.84,https://letterboxd.com//film/the-fp/
The Thinning: New World Order,2018,Michael J. Gallagher,1.77,https://letterboxd.com//film/the-thinning-new-world-order/
Bloodline,1979,Terence Young,2.79,https://letterboxd.com//film/bloodline/
Goodbye to Language,2014,Jean-Luc Godard,3.24,https://letterboxd.com//film/goodbye-to-language/
Lemon,1969,Hollis Frampton,2.92,https://letterboxd.com//film/lemon-1969/
Miracles from Heaven,2016,Patricia Riggen,2.88,https://letterboxd.com//film/miracles-from-heaven/
Double Agent 73,1974,Doris Wishman,2.57,https://letterboxd.com//film/double-agent-73/
The Taint,2010,"Drew Bolduc, Dan Nelson",2.96,https://letterboxd.com//film/the-taint/
Amber Alert,2012,Kerry Bellessa,2.33,https://letterboxd.com//film/amber-alert/
Bratz: Genie Magic,2006,Mucci Fassett,2.93,https://letterboxd.com//film/bratz-genie-magic/
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,William Friese-Greene,2.33,https://letterboxd.com//film/leisurely-pedestrians-open-topped-buses-and-hansom-cabs-with-trotting-horses/
The Pest,1997,R. Paul Miller,1.96,https://letterboxd.com//film/the-pest/
Alvin and the Chipmunks: The Road Chip,2015,Walt Becker,1.76,https://letterboxd.com//film/alvin-and-the-chipmunks-the-road-chip/
Collateral Beauty,2016,David Frankel,2.83,https://letterboxd.com//film/collateral-beauty/
Phat Girlz,2006,Nnegest Likké,2.2,https://letterboxd.com//film/phat-girlz/
Thomas and the Magic Railroad,2000,Britt Allcroft,2.32,https://letterboxd.com//film/thomas-and-the-magic-railroad/
Valley of the Wolves: Iraq,2006,Serdar Akar,2.31,https://letterboxd.com//film/valley-of-the-wolves-iraq/
Fun in Balloon Land,1965,Joseph M. Sonneborn Jr.,1.51,https://letterboxd.com//film/fun-in-balloon-land/
Recep Ivedik 3,2010,Togan Gökbakar,1.77,https://letterboxd.com//film/recep-ivedik-3/
Madea's Witness Protection,2012,Tyler Perry,2.31,https://letterboxd.com//film/madeas-witness-protection/
Scary Godmother: The Revenge of Jimmy,2005,Ezekiel Norton,2.96,https://letterboxd.com//film/scary-godmother-the-revenge-of-jimmy/
High School Musical 2,2007,Kenny Ortega,3.02,https://letterboxd.com//film/high-school-musical-2/
The Cheetah Girls 2,2006,Kenny Ortega,2.87,https://letterboxd.com//film/the-cheetah-girls-2/
Tales from the Quadead Zone,1987,Chester Novell Turner,2.84,https://letterboxd.com//film/tales-from-the-quadead-zone/
Grumpy Cat's Worst Christmas Ever,2014,Tim Hill,2.01,https://letterboxd.com//film/grumpy-cats-worst-christmas-ever/
"Simão, o Fantasma Trapalhão",1998,Daniel Filho,2.39,https://letterboxd.com//film/simao-o-fantasma-trapalhao/
Husband Factor,2015,Kıvanç Baruönü,2.45,https://letterboxd.com//film/husband-factor/
Kolpaçino 2: Bomba,2011,Şafak Sezer,2.68,https://letterboxd.com//film/kolpacino-2-bomba/
"T,O,U,C,H,I,N,G",1969,Paul Sharits,3.41,https://letterboxd.com//film/touching/
Anatomy of Hell,2004,Catherine Breillat,2.64,https://letterboxd.com//film/anatomy-of-hell/
Zombie Ass: Toilet of the Dead,2011,Noboru Iguchi,2.47,https://letterboxd.com//film/zombie-ass-toilet-of-the-dead/
Real,2017,Lee Sa-rang,1.89,https://letterboxd.com//film/real-2017/
Cartoon All-Stars to the Rescue,1990,"Karen Peterson, Marsh Lamore",2.62,https://letterboxd.com//film/cartoon-all-stars-to-the-rescue/
My Son John,1952,Leo McCarey,3.1,https://letterboxd.com//film/my-son-john/
Shaandaar,2015,Vikas Bahl,2.09,https://letterboxd.com//film/shaandaar/
The Star Wars Holiday Special,1978,"Steve Binder, David Acomba",1.26,https://letterboxd.com//film/the-star-wars-holiday-special/
Aladdin,1992,,3.32,https://letterboxd.com//film/aladdin-1992/
Sheeple,2018,Houman Seyyedi,2.74,https://letterboxd.com//film/sheeple/
Extraordinary: The Stan Romanek Story,2013,Jon Sumple,2.03,https://letterboxd.com//film/extraordinary-the-stan-romanek-story/
The Cock Fight,1894,William K.L. Dickson,2.07,https://letterboxd.com//film/the-cock-fight/
Sharknado 3: Oh Hell No!,2015,Anthony C. Ferrante,1.88,https://letterboxd.com//film/sharknado-3-oh-hell-no/
Sijjin 2,2015,Alper Mestçi,2.58,https://letterboxd.com//film/sijjin-2/
Albion: The Enchanted Stallion,2016,Castille Landon,2.3,https://letterboxd.com//film/albion-the-enchanted-stallion/
Scrapbook,2000,Eric Stanze,2.51,https://letterboxd.com//film/scrapbook/
Boo! A Madea Halloween,2016,Tyler Perry,1.95,https://letterboxd.com//film/boo-a-madea-halloween/
Sweet Movie,1974,Dušan Makavejev,3.24,https://letterboxd.com//film/sweet-movie/
The Pirate Movie,1982,Ken Annakin,2.62,https://letterboxd.com//film/the-pirate-movie/
The Land Before Time XIII: The Wisdom of Friends,2007,"Jamie Mitchell, Charles Grosvenor",2.26,https://letterboxd.com//film/the-land-before-time-xiii-the-wisdom-of-friends/
Spectacular!,2009,Robert Iscove,2.57,https://letterboxd.com//film/spectacular/
Sanam Teri Kasam,2016,"Radhika Rao, Vinay Sapru",3.29,https://letterboxd.com//film/sanam-teri-kasam-2016/
The Greasy Strangler,2016,Jim Hosking,3.02,https://letterboxd.com//film/the-greasy-strangler/
Glen or Glenda,1953,Edward D. Wood Jr.,2.49,https://letterboxd.com//film/glen-or-glenda/
One Royal Holiday,2020,Dustin Rikert,3.1,https://letterboxd.com//film/one-royal-holiday/
Glitter,2001,Vondie Curtis-Hall,1.63,https://letterboxd.com//film/glitter/
Elena Undone,2010,Nicole Conn,2.74,https://letterboxd.com//film/elena-undone/
What the Health,2017,"Keegan Kuhn, Kip Andersen",3.26,https://letterboxd.com//film/what-the-health/
Turbo Charged Prelude to 2 Fast 2 Furious,2003,Philip G. Atwell,2.35,https://letterboxd.com//film/turbo-charged-prelude-to-2-fast-2-furious/
Boo 2! A Madea Halloween,2017,Tyler Perry,1.73,https://letterboxd.com//film/boo-2-a-madea-halloween/
Begotten,1989,E. Elias Merhige,2.96,https://letterboxd.com//film/begotten/
Laveuses sur la rivière,1897,"Auguste Lumière, Louis Lumière",2.99,https://letterboxd.com//film/laveuses-sur-la-riviere/
Furious,1984,Tim Everitt,3.28,https://letterboxd.com//film/furious/
My First Time,2012,Marie-Castille Mention-Schaar,3.01,https://letterboxd.com//film/my-first-time/
Barbie: A Perfect Christmas,2011,Mark Baldo,2.74,https://letterboxd.com//film/barbie-a-perfect-christmas/
Nudist Colony of the Dead,1991,Mark Pirro,2.65,https://letterboxd.com//film/nudist-colony-of-the-dead/
Barbie and the Secret Door,2014,Karen J. Lloyd,2.73,https://letterboxd.com//film/barbie-and-the-secret-door/
Tonight She Comes,2016,Matt Stuertz,2.23,https://letterboxd.com//film/tonight-she-comes/
The Twilight Saga: New Moon,2009,Chris Weitz,2.29,https://letterboxd.com//film/the-twilight-saga-new-moon/
Perras,2011,Guillermo Ríos,3.09,https://letterboxd.com//film/perras/
Halloween II,2009,Rob Zombie,2.33,https://letterboxd.com//film/halloween-ii/
Cats,2019,Tom Hooper,1.44,https://letterboxd.com//film/cats-2019/
Amy Schumer: The Leather Special,2017,Amy Schumer,1.86,https://letterboxd.com//film/amy-schumer-the-leather-special/
Skeleton Man,2004,Johnny Martin,1.96,https://letterboxd.com//film/skeleton-man/
Splatter Farm,1987,"Mark Polonia, John Polonia",3.16,https://letterboxd.com//film/splatter-farm/
Run the Race,2019,Chris Dowling,2.51,https://letterboxd.com//film/run-the-race/
2 Hearts,2020,Lance Hool,2.25,https://letterboxd.com//film/2-hearts/
The Thinning,2016,Michael J. Gallagher,1.85,https://letterboxd.com//film/the-thinning/
Endless Love,2014,Shana Feste,2.61,https://letterboxd.com//film/endless-love-2014/
Cannibal,2006,Marian Dora,2.67,https://letterboxd.com//film/cannibal/
Dear Santa,2011,Jason Priestley,2.39,https://letterboxd.com//film/dear-santa/
Camp Blood,2000,Brad Sykes,2.05,https://letterboxd.com//film/camp-blood/
48 Christmas Wishes,2017,"Justin G. Dyck, Marco Deufemia",2.03,https://letterboxd.com//film/48-christmas-wishes/
Cat Sick Blues,2016,Dave Jackson,3.11,https://letterboxd.com//film/cat-sick-blues/
Night Killer,1990,"Bruno Mattei, Claudio Fragasso",2.7,https://letterboxd.com//film/night-killer/
Xanadu,1980,Robert Greenwald,2.61,https://letterboxd.com//film/xanadu/
Baaghi 2,2018,Ahmed Khan,2.25,https://letterboxd.com//film/baaghi-2/
Kolpaçino 3: 3.Devre,2016,Şafak Sezer,1.91,https://letterboxd.com//film/kolpacino-3-3devre/
Prem Ratan Dhan Payo,2015,Sooraj Barjatya,2.03,https://letterboxd.com//film/prem-ratan-dhan-payo/
Barbie & Her Sisters in a Puppy Chase,2016,"Conrad Helten, Michael Goguen",2.48,https://letterboxd.com//film/barbie-her-sisters-in-a-puppy-chase/
Moms,2013,Andrew Ruse,3.75,https://letterboxd.com//film/moms/
Sharknado 4: The 4th Awakens,2016,Anthony C. Ferrante,1.75,https://letterboxd.com//film/sharknado-4-the-4th-awakens/
After,2019,Jenny Gage,1.62,https://letterboxd.com//film/after-2019/
Frozen Scream,1975,Frank Roach,2.34,https://letterboxd.com//film/frozen-scream/
Myra Breckinridge,1970,Michael Sarne,2.52,https://letterboxd.com//film/myra-breckinridge/
Twin Sitters,1994,John Paragon,2.89,https://letterboxd.com//film/twin-sitters/
Shark Attack 3: Megalodon,2002,David Worth,1.87,https://letterboxd.com//film/shark-attack-3-megalodon/
Glee: The Concert Movie,2011,Kevin Tancharoen,3.22,https://letterboxd.com//film/glee-the-concert-movie/
Spirits' Homecoming,2016,Cho Jung-lae,2.89,https://letterboxd.com//film/spirits-homecoming/
Stoic,2009,Uwe Boll,2.76,https://letterboxd.com//film/stoic/
Spider-Man: The Movie,1978,Koichi Takemoto,3.33,https://letterboxd.com//film/spider-man-the-movie/
Dying of the Light,2014,Paul Schrader,2.35,https://letterboxd.com//film/dying-of-the-light/
One Direction: This Is Us,2013,Morgan Spurlock,3.98,https://letterboxd.com//film/one-direction-this-is-us/
My Babysitter's a Vampire,2010,Bruce McDonald,2.98,https://letterboxd.com//film/my-babysitters-a-vampire/
The World Is Full of Secrets,2018,Graham Swon,3.12,https://letterboxd.com//film/the-world-is-full-of-secrets/
FDR: American Badass!,2012,Garrett Brawith,2.65,https://letterboxd.com//film/fdr-american-badass/
Operation Cicero,2019,Serdar Akar,2.58,https://letterboxd.com//film/operation-cicero/
New Order,2020,Michel Franco,2.67,https://letterboxd.com//film/new-order-2020/
Gorilla Interrupted,2003,Mike Stoklasa,3.06,https://letterboxd.com//film/gorilla-interrupted/
Malibu Rescue,2019,Savage Steve Holland,2.02,https://letterboxd.com//film/malibu-rescue/
The Nutcracker in 3D,2010,Andrei Konchalovsky,1.85,https://letterboxd.com//film/the-nutcracker-in-3d/
Aftermath,1994,Nacho Cerdà,2.65,https://letterboxd.com//film/aftermath/
Hot Wheels: World Race,2003,"William Lau, Jeff Gomez",3.29,https://letterboxd.com//film/hot-wheels-world-race/
Leo the Lion,2005,Mario Cambi,1.2,https://letterboxd.com//film/leo-the-lion/
90 Minutes in Heaven,2015,Michael Polish,2.18,https://letterboxd.com//film/90-minutes-in-heaven/
American Satan,2017,Ash Avildsen,2.66,https://letterboxd.com//film/american-satan/
The Giant,2019,David Raboy,2.79,https://letterboxd.com//film/the-giant-2019/
Surf Ninjas,1993,Neal Israel,2.34,https://letterboxd.com//film/surf-ninjas/
Don's Plum,2001,R.D. Robb,2.45,https://letterboxd.com//film/dons-plum/
My Scene Goes Hollywood: The Movie,2005,Eric Fogel,3.17,https://letterboxd.com//film/my-scene-goes-hollywood-the-movie/
A Princess for Christmas,2011,Michael Damian,2.51,https://letterboxd.com//film/a-princess-for-christmas/
Barbie Video Game Hero,2017,"Conrad Helten, Zeke Norton",2.25,https://letterboxd.com//film/barbie-video-game-hero/
The Last Face,2016,Sean Penn,1.88,https://letterboxd.com//film/the-last-face/
Grown Ups 2,2013,Dennis Dugan,1.93,https://letterboxd.com//film/grown-ups-2/
Nekromantik,1987,Jörg Buttgereit,2.77,https://letterboxd.com//film/nekromantik/
Cyberbully,2011,Charles Binamé,1.63,https://letterboxd.com//film/cyberbully/
