Film_title,Release_year,Director,Average_rating,Letterboxd URL
The Last Vampire On Earth,2010,Vitaliy Versace,1.46,https://letterboxd.com//film/the-last-vampire-on-earth/
Dark,2015,Nick Basile,3.23,https://letterboxd.com//film/dark/
The Naked Brothers Band: The Movie,2005,Polly Draper,2.79,https://letterboxd.com//film/the-naked-brothers-band-the-movie/
My Brother's Name Is Robert and He Is an Idiot,2018,Philip Gröning,2.81,https://letterboxd.com//film/my-brothers-name-is-robert-and-he-is-an-idiot/
Xuxa Abracadabra,2003,Moacyr Góes,2.84,https://letterboxd.com//film/xuxa-abracadabra/
Ratatouille: The TikTok Musical,2021,Lucy Moss,3.21,https://letterboxd.com//film/ratatouille-the-tiktok-musical/
2016: Obama's America,2012,"John Sullivan, Dinesh D'Souza",1.78,https://letterboxd.com//film/2016-obamas-america/
Teenage Mutant Ninja Turtles: We Wish You a Turtle Christmas,1994,Larry Osborne,1.75,https://letterboxd.com//film/teenage-mutant-ninja-turtles-we-wish-you-a-turtle-christmas/
ReGOREgitated Sacrifice,2010,Lucifer Valentine,2.1,https://letterboxd.com//film/regoregitated-sacrifice/
Dangerous Men,2005,Jahangir Salehi,2.78,https://letterboxd.com//film/dangerous-men/
Wedding Trough,1974,Thierry Zéno,2.39,https://letterboxd.com//film/wedding-trough/
Justin Bieber: Never Say Never,2011,Jon M. Chu,2.24,https://letterboxd.com//film/justin-bieber-never-say-never/
Swamp Ape,2017,Geoff Ward,1.86,https://letterboxd.com//film/swamp-ape/
Muhammad: The Messenger of God,2015,Majid Majidi,2.54,https://letterboxd.com//film/muhammad-the-messenger-of-god/
Love Is All You Need?,2011,Kim Rocco Shields,2.91,https://letterboxd.com//film/love-is-all-you-need-2011/
War Room,2015,Alex Kendrick,2.5,https://letterboxd.com//film/war-room/
Standing Ovation,2010,Stewart Raffill,1.73,https://letterboxd.com//film/standing-ovation/
MXP: Most Xtreme Primate,2004,Robert Vince,2.42,https://letterboxd.com//film/mxp-most-xtreme-primate/
MVP 2: Most Vertical Primate,2001,Robert Vince,2.38,https://letterboxd.com//film/mvp-2-most-vertical-primate/
A Perfect Child of Satan,2012,Lucifer Valentine,2.47,https://letterboxd.com//film/a-perfect-child-of-satan/
ViihTube: Amiga do Inimigo,2020,Plinio Scambora,1.51,https://letterboxd.com//film/viihtube-amiga-do-inimigo/
Evim Sensin,2012,Özcan Deniz,2.64,https://letterboxd.com//film/evim-sensin/
Cute and Dangerous,2015,Özcan Deniz,2.93,https://letterboxd.com//film/cute-and-dangerous/
Sgt. Pepper's Lonely Hearts Club Band,1978,Michael Schultz,2.49,https://letterboxd.com//film/sgt-peppers-lonely-hearts-club-band/
Expelled: No Intelligence Allowed,2008,Nathan Frankowski,1.79,https://letterboxd.com//film/expelled-no-intelligence-allowed/
Inventing the Future,2020,Isiah Medina,3.01,https://letterboxd.com//film/inventing-the-future/
Deliha 2,2018,Gupse Özay,2.39,https://letterboxd.com//film/deliha-2/
Bates Motel,1987,Richard Rothstein,3.04,https://letterboxd.com//film/bates-motel/
Black Devil Doll from Hell,1984,Chester Novell Turner,2.38,https://letterboxd.com//film/black-devil-doll-from-hell/
Bratz,2007,Sean McNamara,2.31,https://letterboxd.com//film/bratz/
Resurrection of The Little Match Girl,2002,Jang Sun-woo,2.64,https://letterboxd.com//film/resurrection-of-the-little-match-girl/
Big Money Hustlas,2000,John Cafiero,2.4,https://letterboxd.com//film/big-money-hustlas/
Uncle Tom,2020,Justin Malone,3.52,https://letterboxd.com//film/uncle-tom/
Akihabara Majokko Princess,2009,McG,2.63,https://letterboxd.com//film/akihabara-majokko-princess/
Out of Shadows,2020,Mike Smith,2.16,https://letterboxd.com//film/out-of-shadows/
Loose Change 9/11: An American Coup,2009,Dylan Avery,2.59,https://letterboxd.com//film/loose-change-9-11-an-american-coup/
